id;polos;contato;email;num_vagas_eixo;total_vagas
358;São Paulo - Parque Bristol;(11) 2334-9174 ;sp.pqbristol@polo.univesp.br;35;105
359;São Paulo - Parque do Carmo;(11) 3195- 2473 ;sp.parquedocarmo@polo.univesp.br;35;105
360;São Paulo - Parque Novo Mundo;(11) 3396-0486;sp.pqnovomundo@polo.univesp.br;35;105
361;São Paulo - Parque São Carlos;(11) 2045-4205 ;sp.pqsaocarlos@polo.univesp.br;35;105
362;São Paulo - Parque Veredas;(11) 2563-6258 ;sp.pqveredas@polo.univesp.br;35;105
363;São Paulo - Pera Marmelo;(11) 3948-3916 ;sp.peramarmelo@polo.univesp.br;35;105
364;São Paulo - Perus;(11) 3915-8775;sp.perus@polo.univesp.br;35;105
365;São Paulo - Pinheirinho;(11) 3396-0482;sp.pinheirinho@polo.univesp.br;35;105
366;São Paulo - Pirituba UniCEU Parque Anhanguera;(11) 3912-6055 ;sp.parqueanhanguera@polo.univesp.br;35;105
367;São Paulo - Quinta do Sol;(11) 3396-8594 ;sp.quinta@polo.univesp.br;35;105
368;São Paulo - Rosa da China;(11) 2701-2363 ;sp.rosadachina@polo.univesp.br;35;105
369;São Paulo - São Mateus;(11) 2732-8161;sp.saomateus@polo.univesp.br;35;105
370;São Paulo - São Mateus UniCEU Alto Alegre;(11) 2075-1019;sp.altoalegre@polo.univesp.br;35;105
371;São Paulo - São Mateus UniCEU Sapopemba;(11) 2075-9101 ;sp.sapopemba@polo.univesp.br;35;105
372;São Paulo - São Miguel Paulista UniCEU Três Pontes;(11) 3397-6464 ;sp.trespontes@polo.univesp.br;35;105
373;São Paulo - São Pedro;(11) 3195-2473 ;sp.saopedro@polo.univesp.br;35;105
374;São Paulo - São Rafael;(11) 2752-1071 ;sp.saorafael@polo.univesp.br;35;105
375;São Paulo - Três Lagos;(11) 5976-5636 ;sp.treslagos@polo.univesp.br;35;105
376;São Paulo - UniCEU Jaguaré;(11) 3716-2154;sp.jaguare@polo.univesp.br;35;105
377;São Paulo - UniCEU Tiquatira;(11) 2075-7461 ;sp.tiquatira@polo.univesp.br;35;105
378;São Paulo - Uniceu Polo Gilberto Dupas;(11) 3983-1611;sp.freguesia@polo.univesp.br;35;105
379;São Paulo - Vila Atlântica;(11) 3901-8706 ;sp.vilaatlantica@polo.univesp.br;35;105
380;São Paulo - Vila Curuçá;(11) 2563-6130 ;sp.vilacuruca@polo.univesp.br;35;105
381;São Paulo - Vila do Sol ;(11) 3397-9853;sp.vilasol@polo.univesp.br;35;105
382;São Pedro ;(19) 3481-9317 ;saopedro@polo.univesp.br;10;30
383;São Pedro do Turvo;(14) 3377-1529 ;saopedrodoturvo@polo.univesp.br;10;30
384;São Roque;(11) 4712-1904;saoroque@polo.univesp.br;30;90
385;São Sebastião;(12) 3892-3857;saosebastiao@polo.univesp.br;30;90
386;São Simão;(16) 3984-9150;saosimao@polo.univesp.br;10;30
387;São Vicente - Insular;(13) 3569-2401 ;saovicenteinsular@polo.univesp.br;60;180
388;São Vicente - Quarentenário;(13) 99170-6714 ;saovicentequa@polo.univesp.br;60;180
389;Sarapuí;(15) 3276-1306 ;sarapui@polo.univesp.br;10;30
390;Sebastianópolis do Sul;(17) 3837-1129 ;sebastianopolisdosul@polo.univesp.br;10;30
391;Serrana;(16) 3489-2897;serrana@polo.univesp.br;15;45
392;Serra Negra;(19) 3842-2308;serranegra@polo.univesp.br;NA;NA
393;Sertãozinho;(16) 3947-3600;sertaozinho@polo.univesp.br;40;120
394;Sete Barras;(13) 3872-1574;setebarras@polo.univesp.br;10;30
395;Severínia;(17) 3817-1407;severinia@polo.univesp.br;10;30
396;Socorro;(19) 3895 2815;socorro@polo.univesp.br;15;45
397;Sorocaba - Polo 01;(15) 3316-1666 ;sorocaba@polo.univesp.br;100;300
398;Sorocaba - Parque Tecnológico;NA;NA;35;105
399;Sud Mennucci;(18) 99201-1636 ;sudmennucci@polo.univesp.br;10;30
400;Sumaré;(19) 3873-1758;sumare@polo.univesp.br;100;300
401;Suzano;(11) 4610-2519;suzano@polo.univesp.br;100;300
402;Suzanópolis;(18) 3706-1359;suzanapolis@polo.univesp.br;NA;NA
403;Tabatinga;(16) 3385-2300;tabatinga@polo.univesp.br;10;30
404;Taciba;(18) 3997-1158;taciba@polo.univesp.br;10;30
405;Tambaú;(19) 3673-9513;tambau@polo.univesp.br;10;30
406;Tapiratiba;(19) 3657-9800;tapiratiba@polo.univesp.br;10;30
407;Taquaral;(16) 3958-6305;taquaral@polo.univesp.br;10;30
408;Taquaritinga;(16) 3252-5250;taquaritinga@polo.univesp.br;20;60
409;Taquarituba;(14) 3762-2143;taquarituba@polo.univesp.br;10;30
410;Taquarivaí;(15) 99633-7602;taquarivai@polo.univesp.br;10;30
411;Tarabai;NA;tarabai@polo.univesp.br;10;30
412;Tarumã;(18) 3373-4708;taruma@polo.univesp.br;10;30
413;Tatuí;(15) 3305-1686;tatui@polo.univesp.br;40;120
414;Taubaté;(12) 3621-2479 ;taubate@polo.univesp.br;100;300
415;Teodoro Sampaio;(18) 3282-1059 ;teodoro@polo.univesp.br;10;30
416;Tietê;(15) 3282-4883;tiete@polo.univesp.br;15;45
417;Torrinha;(14) 3656-3700;torrinha@polo.univesp.br;10;30
418;Tremembé;(12) 3674-1459;tremembe@polo.univesp.br;15;45
419;Tupã;(14) 3496-6856 ;tupa@polo.univesp.br;20;60
420;Ubatuba;(12) 3042-3149;ubatuba@polo.univesp.br;30;90
421;Urupês;(17) 3552-1225;urupes@polo.univesp.br;10;30
422;Valinhos;(19) 3869-1155;valinhos@polo.univesp.br;40;120
423;Valparaíso;NA;valparaiso@polo.univesp.br;NA;NA
424;Vargem Grande do Sul;(19) 3641-6755;vargemgrande@polo.univesp.br;15;45
425;Vargem Grande Paulista;(11) 4159-3270;vargemgrandepaulista@polo.univesp.br;15;45
426;Várzea Paulista;(11) 4606-8654;varzeapaulista@polo.univesp.br;40;120
427;Vera Cruz;(14) 3492-1004 ;veracruz@polo.univesp.br;10;30
428;Vinhedo;(19) 3826-7800 ;vinhedo@polo.univesp.br;25;75
429;Viradouro;(17) 3392-2666;viradouro@polo.univesp.br;10;30
430;Votorantim;(15) 3247-2663;votorantim@polo.univesp.br;40;120
431;Votuporanga;(17) 3422-8839;votuporanga@polo.univesp.br;35;105
;;;;;
;TOTAL:;;;10375;31125
